name,rank,area,profile,homepage
Hang Ma, Assistant Professor," Artificial Intelligence, Robotics, Multi-Agent/Robot Systems, Machine Learning",/computing/people/faculty/hangma.html,https://www.sfu.ca/~hangma/
ANDERS MILTNER (Starting August 15th, 2022), Programming Languages,/computing/people/faculty/anders-miltner.html,https://www.cs.utexas.edu/~amiltner/
Steven Pearce, Lecturer," Instruction, Computational Applied Mathematics
",/computing/people/faculty/stevenpearce.html,http://www.cs.sfu.ca/~stevenp/
Jason Peng,," Reinforcement Learning, Computer Animation, Robotics",/computing/people/faculty/jason-peng.html,https://xbpeng.github.io/
Janice Regan, Senior Lecturer," Instruction
",/computing/people/faculty/janiceregan.html,http://www.cs.sfu.ca/~jregan/
Manolis Savva, Assistant Professor ," Computer Graphics, Computer Vision, Deep Learning",/computing/people/faculty/manolissavva.html,https://msavva.github.io/
Thomas C. Shermer, Professor," Computational Geometry and Computer Graphics
",/computing/people/faculty/thomasshermer.html,http://www.cs.sfu.ca/~shermer/
Arrvindh Shriraman, Associate Professor," Systems architecture, hardware-software interactions, parallelism, sychronization and imporoving software reliability within specialized fields.",/computing/people/faculty/ArrvindhShriraman.html,http://www.cs.sfu.ca/~ashriram/
William (Nick) Sumner, Associate Professor," Software Development, Debugging
",/computing/people/faculty/NickSumner.html,http://www.cs.sfu.ca/~wsumner/
Eugenia Ternovska, Associate Professor," Logical in Computer Science, Descriptive Complexity",/computing/people/faculty/EugeniaTernovska.html,http://www.cs.sfu.ca/~ter/
Keval Vora, Assistant Professor," Parallel & Distributed Computing, Irregular Big Data Processing and High Performance Computing",/computing/people/faculty/kevalvora.html,http://www.cs.sfu.ca/~keval/
Ke Wang, Professor," Databases, Data Mining",/computing/people/faculty/kewang.html,http://www.cs.sfu.ca/~wangk/
Tianzheng Wang, Assistant Professor," Database Systems, Parallel and Distributed Systems",/computing/people/faculty/tianzhengwang.html,
Kay C. Wiese," Professor
"," Computational Biology and Bioinformatics, Evolutionary Computation, Computational Intelligence and Machine Learning, Visualization",/computing/people/faculty/kaywiese.html,http://www.cs.sfu.ca/~wiese/
Xing-Dong Yang, Associate Professor, Human-Computer Interaction,/computing/people/faculty/xing-dong-yang.html,http://www.sfu.ca/~xingdong/
Richard (Hao) Zhang," Professor
", Computer Graphics; Geometric Modelling,/computing/people/faculty/richardzhang.html,http://www.cs.sfu.ca/~haoz/
Ryan Shea, Assistant Professor,,,
